ID	population	condition	GC_pct	Five_Prime_Bias	library_batch	experiment_date	age	Pct_European_Ancestry
EIP@OSWGVHGFTN-5	AFB	IAV	48.34	-0.100966766924406	3/11/14 15:48	1/14/14	33	1e-05
EIP@RMMITBYRPF-1	AFB	NS	48.84	-0.176483362357256	3/6/14 18:41	1/14/14	30	1e-05
EIP@RMMITBYRPF-2	AFB	LPS	48.35	-0.120701343363368	3/11/14 15:48	1/14/14	30	1e-05
EIP@RMMITBYRPF-3	AFB	PAM3CSK4	46.92	-0.154763257787144	3/11/14 15:48	1/14/14	30	1e-05
EIP@RMMITBYRPF-4	AFB	R848	48.57	-0.117542487585477	3/7/14 9:07	1/14/14	30	1e-05
EIP@RMMITBYRPF-5	AFB	IAV	47.61	-0.110657603968318	3/11/14 15:48	1/14/14	30	1e-05
EIP@QOXBUEUAMB-1	AFB	NS	48.57	-0.149467604721143	1/22/14 17:19	10/10/13	28	1e-05
EIP@QOXBUEUAMB-3	AFB	PAM3CSK4	47.1767974090507	-0.135616114993026	2/6/14 14:20	10/10/13	28	1e-05
EIP@QOXBUEUAMB-4	AFB	R848	46.93	-0.137504106654815	2/6/14 14:18	10/10/13	28	1e-05
EIP@QOXBUEUAMB-5	AFB	IAV	49.0301101875036	-0.107770377015457	2/11/14 18:08	10/10/13	28	1e-05
EIP@HZRSFLQRBY-1	AFB	NS	47.81	-0.168553888495925	1/22/14 17:19	10/15/13	32	1e-05
EIP@HZRSFLQRBY-2	AFB	LPS	47.7773116333779	-0.159380962311019	1/22/14 17:19	10/15/13	32	1e-05
EIP@HZRSFLQRBY-3	AFB	PAM3CSK4	49.95	-0.0995841633090306	1/9/14 16:03	10/15/13	32	1e-05
EIP@HZRSFLQRBY-4	AFB	R848	47.2	-0.14735939968605	1/13/14 17:48	10/15/13	32	1e-05
EIP@HZRSFLQRBY-5	AFB	IAV	47.58	-0.134883484601148	1/13/14 17:48	10/15/13	32	1e-05
EIP@ZUVQHENAAQ-1	AFB	NS	48.26	-0.148521506419907	1/13/14 17:48	10/15/13	29	1e-05
EIP@ZUVQHENAAQ-2	AFB	LPS	47.92	-0.134187312691071	1/13/14 17:48	10/15/13	29	1e-05
EIP@ZUVQHENAAQ-3	AFB	PAM3CSK4	50.1750108824584	-0.0912399148310262	1/9/14 16:03	10/15/13	29	1e-05
EIP@ZUVQHENAAQ-4	AFB	R848	50.23	-0.0864398245585104	1/9/14 16:03	10/15/13	29	1e-05
EIP@ZUVQHENAAQ-5	AFB	IAV	46.83	-0.166592963951748	1/22/14 17:19	10/15/13	29	1e-05
EIP@CHOMAAERON-1	AFB	NS	48.8796009065597	-0.1422988330328	2/6/14 14:18	12/17/13	26	1e-05
EIP@CHOMAAERON-2	AFB	LPS	48.4	-0.144786798157544	1/22/14 17:19	12/17/13	26	1e-05
EIP@CHOMAAERON-3	AFB	PAM3CSK4	47.95	-0.146046662760376	2/11/14 18:08	12/17/13	26	1e-05
EIP@CHOMAAERON-4	AFB	R848	47.99	-0.127628895302881	2/11/14 10:14	12/17/13	26	1e-05
EIP@CHOMAAERON-5	AFB	IAV	48.21	-0.126895398876813	2/6/14 14:18	12/17/13	26	1e-05
EIP@TKJBWNAOCN-1	AFB	NS	49.36	-0.127939796321665	1/9/14 16:03	10/10/13	48	1e-05
EIP@TKJBWNAOCN-2	AFB	LPS	47.03	-0.151380725336952	1/13/14 17:48	10/10/13	48	1e-05
EIP@TKJBWNAOCN-3	AFB	PAM3CSK4	47.32	-0.132876041795189	1/13/14 17:48	10/10/13	48	1e-05
EIP@TKJBWNAOCN-4	AFB	R848	48.45	-0.142303816551981	1/9/14 16:03	10/10/13	48	1e-05
EIP@TKJBWNAOCN-5	AFB	IAV	47.1	-0.137061897426724	1/13/14 17:48	10/10/13	48	1e-05
EIP@ONKRHVQUZU-1	AFB	NS	48.82	-0.137016477957107	2/11/14 10:14	12/17/13	25	1e-05
EIP@ONKRHVQUZU-2	AFB	LPS	48.49	-0.131708149376119	2/6/14 14:18	12/17/13	25	1e-05
EIP@ONKRHVQUZU-3	AFB	PAM3CSK4	48.47	-0.138723994658676	2/11/14 18:08	12/17/13	25	1e-05
EIP@ONKRHVQUZU-4	AFB	R848	47.26	-0.14821630064999	1/22/14 17:19	12/17/13	25	1e-05
EIP@ONKRHVQUZU-5	AFB	IAV	48.42	-0.112330275603414	2/6/14 14:18	12/17/13	25	1e-05
EIP@ZYNEMKVQEG-1	AFB	NS	47.58	-0.170860358491757	1/13/14 17:48	10/17/13	31	1e-05
EIP@ZYNEMKVQEG-2	AFB	LPS	49.75	-0.0996047029415142	1/9/14 16:03	10/17/13	31	1e-05
EIP@ZYNEMKVQEG-3	AFB	PAM3CSK4	50.24	-0.0971579424435425	1/9/14 16:03	10/17/13	31	1e-05
EIP@ZYNEMKVQEG-4	AFB	R848	46.93	-0.148290911910202	1/22/14 17:19	10/17/13	31	1e-05
EIP@ZYNEMKVQEG-5	AFB	IAV	48.24	-0.12583330640601	1/9/14 16:03	10/17/13	31	1e-05
EIP@HFJDNSKKMJ-1	AFB	NS	49.54	-0.145229968792374	3/6/14 18:41	10/17/13	26	1e-05
EIP@HFJDNSKKMJ-2	AFB	LPS	48.7	-0.136594143666871	3/7/14 13:26	10/17/13	26	1e-05
EIP@HFJDNSKKMJ-3	AFB	PAM3CSK4	48.58	-0.11759800115725	3/11/14 15:48	10/17/13	26	1e-05
EIP@HFJDNSKKMJ-4	AFB	R848	49.08	-0.125067263931313	3/7/14 9:07	10/17/13	26	1e-05
EIP@HFJDNSKKMJ-5	AFB	IAV	47.73	-0.124494917000799	3/11/14 15:48	10/17/13	26	1e-05
EIP@UTRKBNQYJD-1	AFB	NS	48.59	-0.151207180479091	1/9/14 16:03	10/15/13	26	1e-05
EIP@UTRKBNQYJD-2	AFB	LPS	47.44	-0.141377678832457	1/13/14 17:48	10/15/13	26	1e-05
EIP@UTRKBNQYJD-3	AFB	PAM3CSK4	47.7003815756709	-0.138999491655159	1/13/14 17:48	10/15/13	26	1e-05
EIP@UTRKBNQYJD-4	AFB	R848	47.1	-0.156233971890497	1/22/14 17:19	10/15/13	26	1e-05
EIP@UTRKBNQYJD-5	AFB	IAV	46.92	-0.148029958612598	1/13/14 17:48	10/15/13	26	1e-05
EIP@IUBCERAEFL-1	AFB	NS	49.56	-0.11861616200491	3/19/14 18:00	10/15/13	36	1e-05
EIP@IUBCERAEFL-2	AFB	LPS	47.55	-0.14842685192076	4/3/14 14:22	10/15/13	36	1e-05
EIP@IUBCERAEFL-3	AFB	PAM3CSK4	48.89	-0.204065281613916	4/7/14 17:45	10/15/13	36	1e-05
EIP@IUBCERAEFL-5	AFB	IAV	46.82	-0.156176792184151	4/7/14 17:43	10/15/13	36	1e-05
EIP@DYLGCKXSAO-1	AFB	NS	50.0370862755228	-0.160032165249387	3/19/14 18:00	2/4/14	29	1e-05
EIP@DYLGCKXSAO-2	AFB	LPS	46.71	-0.155680722982557	4/7/14 17:43	2/4/14	29	1e-05
EIP@DYLGCKXSAO-3	AFB	PAM3CSK4	46.97	-0.162570463022423	4/7/14 17:45	2/4/14	29	1e-05
EIP@DYLGCKXSAO-4	AFB	R848	47.53	-0.119605882341075	4/3/14 14:22	2/4/14	29	1e-05
EIP@DYLGCKXSAO-5	AFB	IAV	46.89	-0.158489277165515	4/7/14 17:43	2/4/14	29	1e-05
EIP@BTICJJCPYJ-1	AFB	NS	49.6	-0.137222287594338	3/6/14 18:41	12/17/13	29	1e-05
EIP@BTICJJCPYJ-2	AFB	LPS	49.07	-0.108185757540204	3/7/14 13:26	12/17/13	29	1e-05
EIP@BTICJJCPYJ-3	AFB	PAM3CSK4	46.9	-0.147711839913878	3/11/14 15:48	12/17/13	29	1e-05
EIP@BTICJJCPYJ-4	AFB	R848	48.96	-0.100717528271867	3/7/14 9:07	12/17/13	29	1e-05
EIP@BTICJJCPYJ-5	AFB	IAV	48.27	-0.115222346986894	3/11/14 15:48	12/17/13	29	1e-05
EIP@GKTUELUAPV-1	AFB	NS	49.62	-0.154336251737412	2/6/14 14:18	10/22/13	26	1e-05
EIP@GKTUELUAPV-3	AFB	PAM3CSK4	47.98	-0.133678943404934	2/11/14 10:14	10/22/13	26	1e-05
EIP@GKTUELUAPV-4	AFB	R848	48.23	-0.133493818684558	2/11/14 18:08	10/22/13	26	1e-05
EIP@GKTUELUAPV-5	AFB	IAV	47.64	-0.13812667252333	1/22/14 17:19	10/22/13	26	1e-05
EIP@KLIZFHXNAK-1	AFB	NS	48.22	-0.158927894855038	1/13/14 17:48	10/22/13	32	1e-05
EIP@KLIZFHXNAK-2	AFB	LPS	46.73	-0.193110676667741	1/22/14 17:19	10/22/13	32	1e-05
EIP@KLIZFHXNAK-3	AFB	PAM3CSK4	47.46	-0.176811353163922	1/22/14 17:19	10/22/13	32	1e-05
EIP@KLIZFHXNAK-4	AFB	R848	47.24	-0.135414145301693	1/13/14 17:48	10/22/13	32	1e-05
EIP@KLIZFHXNAK-5	AFB	IAV	49.27	-0.103339222344844	1/9/14 16:03	10/22/13	32	1e-05
EIP@UMFBSJOBQV-1	AFB	NS	49.32	-0.118090597928441	3/19/14 18:00	12/17/13	30	1e-05
EIP@UMFBSJOBQV-2	AFB	LPS	47.77	-0.130824394664084	4/7/14 17:43	12/17/13	30	1e-05
EIP@UMFBSJOBQV-3	AFB	PAM3CSK4	47.91	-0.126814011158655	4/7/14 17:45	12/17/13	30	1e-05
EIP@UMFBSJOBQV-5	AFB	IAV	47.74	-0.15228965588888	4/3/14 14:22	12/17/13	30	1e-05
EIP@JAECQJYIHD-1	AFB	NS	47.76	-0.159446518154229	1/13/14 17:48	10/22/13	37	1e-05
EIP@JAECQJYIHD-2	AFB	LPS	48.7	-0.135616434660836	1/9/14 16:03	10/22/13	37	1e-05
EIP@JAECQJYIHD-3	AFB	PAM3CSK4	47.01	-0.166868120424172	1/22/14 17:19	10/22/13	37	1e-05
