condition	featureID	P_perm	E0	V0	obs	a_0	b_0	P_param	FDR
NS	(1.00884e+08,1.00886e+08]	0.56	0.00484269784875249	1.95848867448194e-05	0.00407762256487249	1.18679824205131	243.882846637206	0.551226663229669	0.955821825598158
NS	(1.00886e+08,1.00888e+08]	0.48	0.00383729205710983	1.13960592294064e-05	0.0026882050334807	1.28330123877645	333.145566743456	0.468962111375343	0.955821825598158
NS	(1.00888e+08,1.0089e+08]	0.99	0.00391770387620672	1.0353158403191e-05	0.0162140096374914	1.47275951535907	374.451394503411	0.993764136738879	0.994120895655551
NS	(1.0089e+08,1.00892e+08]	0.37	0.00360986405598361	2.09067577161054e-05	0.00212068861726446	0.617437077449833	170.424205453766	0.521877586220859	0.955821825598158
NS	(1.00892e+08,1.00894e+08]	0.62	0.00400783393997186	1.89174154414782e-05	0.00334976966107114	0.841686768149576	209.168703072375	0.58321331731413	0.955821825598158
NS	(1.00894e+08,1.00896e+08]	0.65	0.00392606156319758	1.27190796994035e-05	0.00480853355857957	1.20319297592567	305.259901542066	0.702474847034667	0.97951279247245
NS	(1.00896e+08,1.00898e+08]	0.94	0.00346296812194071	9.77865135474808e-06	0.0109915453322018	1.21865032266408	350.690544261873	0.968038536679768	0.994120895655551
NS	(1.00898e+08,1.009e+08]	0.79	0.00343669106358064	1.20863079547227e-05	0.00529298510695456	0.970413659557993	281.398190793044	0.784811714889668	0.97951279247245
NS	(1.009e+08,1.00902e+08]	0.6	0.0038189720816851	1.11240655098198e-05	0.00415039512196254	1.30225476212482	339.693891392001	0.651144000336247	0.97951279247245
NS	(1.00902e+08,1.00904e+08]	0.78	0.00400394638902554	1.99237387135324e-05	0.00650817310746768	0.797421795142252	198.361537307785	0.798037156258297	0.97951279247245
NS	(1.00904e+08,1.00906e+08]	0	0.00396862782310015	1.2535362139696e-05	2.8736937963507e-14	1.24749109932854	313.090651688282	1.46878161726441e-14	2.88860384728667e-13
NS	(1.00906e+08,1.00908e+08]	0	0.00388901633128051	1.06436360160818e-05	5.29030260281966e-07	1.41156983408719	361.551635728594	4.5093531477656e-06	3.80074051025958e-05
NS	(1.00908e+08,1.0091e+08]	0.11	0.00341296363049952	7.38237659667431e-06	0.000322669537421463	1.56905699858863	458.165405029354	0.032637606337975	0.182537403663925
NS	(1.0091e+08,1.00912e+08]	0.22	0.00385168616155676	1.2151601532875e-05	0.00116079820255529	1.2123126696161	313.536246472107	0.21819067009147	0.677539449231406
NS	(1.00912e+08,1.00914e+08]	0.22	0.00412122601345073	1.33158266866018e-05	0.00119188051913769	1.26613463364366	305.9566746739	0.200082811766572	0.655826994123763
LPS	(1.00796e+08,1.00798e+08]	0.69	0.00521403050950591	2.37308285776739e-05	0.00594698667135738	1.13441600124032	216.435465719268	0.675359227652029	0.885470987365994
LPS	(1.00798e+08,1.008e+08]	1	0.00437990899106935	1.33566050489298e-05	0.0152757727302546	1.4255927723773	324.058972154449	0.98362335493511	0.992919584879141
LPS	(1.008e+08,1.00802e+08]	0.07	0.00368266873907453	1.21335464043441e-05	0.000317699271310863	1.10993276218516	300.283659989818	0.0666879934213821	0.28104225799011
LPS	(1.00802e+08,1.00804e+08]	0.15	0.00422708408448741	1.13992218076002e-05	0.000597659704978583	1.55664343894938	366.698022859732	0.0596947648878176	0.28104225799011
LPS	(1.00804e+08,1.00806e+08]	0.04	0.00406667573504892	1.74106899901908e-05	8.02274101861815e-05	0.941938190457614	230.681690499545	0.0236697397591299	0.155168293976518
LPS	(1.00806e+08,1.00808e+08]	0.26	0.00447838818723655	1.10984689553045e-05	0.00147860480097021	1.79452131693025	398.912438844462	0.161223126699989	0.447908785326753
LPS	(1.00808e+08,1.0081e+08]	0.4	0.00452354199826356	1.43369163560157e-05	0.00290685332046681	1.41627497790231	311.673551190612	0.420322410461785	0.674679472138047
LPS	(1.0081e+08,1.00812e+08]	0.03	0.00362374143995845	6.8165994303316e-06	5.88916986859544e-05	1.91579619651342	526.763257829864	0.000682882676135484	0.00805801557839871
LPS	(1.00812e+08,1.00814e+08]	0.88	0.00393448504892931	1.20096691852375e-05	0.00839862919281927	1.27996983027987	324.040831840625	0.896353033845506	0.989846465161108
LPS	(1.00814e+08,1.00816e+08]	0.38	0.00321807635271529	6.92601279258377e-06	0.00187447460306788	1.48720495241403	460.653772889577	0.374337598316335	0.674679472138047
LPS	(1.00816e+08,1.00818e+08]	0.94	0.00404023513233077	1.44600742873538e-05	0.00955363235673383	1.12026582468235	276.157117295363	0.912916061124864	0.989846465161108
LPS	(1.00818e+08,1.0082e+08]	0.73	0.00383769388565624	1.44115837595161e-05	0.00554295258852048	1.01418873920375	263.256169820237	0.763876418369122	0.919769564975065
LPS	(1.0082e+08,1.00822e+08]	0.3	0.00444372457794166	1.54653508727032e-05	0.00150503712582011	1.26671652539408	283.790672423051	0.236312364521976	0.536247288722946
LPS	(1.00822e+08,1.00824e+08]	0.17	0.00398483093139369	1.20603251668395e-05	0.000862076862731929	1.3073896710475	326.784239197694	0.139380733322675	0.447908785326753
LPS	(1.00824e+08,1.00826e+08]	0.01	0.00313773548547013	6.59014979275117e-06	5.27358865596282e-05	1.48612913624815	472.144979390887	0.00309733938001643	0.0304571705701615
LPS	(1.00826e+08,1.00828e+08]	0.1	0.00441514422628265	1.64430715741118e-05	0.000926825261264808	1.17586506339067	265.149537488791	0.155074063860821	0.447908785326753
LPS	(1.00828e+08,1.0083e+08]	0.36	0.00427231120471826	1.55220422765896e-05	0.00160717254198479	1.16662142396051	271.899025730234	0.280379822847982	0.570427915449342
LPS	(1.0083e+08,1.00832e+08]	0.36	0.00293680952394077	1.22562451846829e-05	0.00152493832670514	0.698707169376339	237.214975580731	0.468924257544025	0.70939823577173
LPS	(1.00832e+08,1.00834e+08]	0.52	0.00406726156093512	1.82513036218567e-05	0.00349017616646009	0.898626255448743	220.04272260684	0.585497229974296	0.818609384350515
LPS	(1.00834e+08,1.00836e+08]	0.92	0.0036608083183796	1.12014936310088e-05	0.00948085869022368	1.18836389810562	323.429533231136	0.935356568498162	0.989846465161108
LPS	(1.00836e+08,1.00838e+08]	0.05	0.00475694590188499	1.97871791999713e-05	0.000275753562874372	1.13339879485802	237.128464643382	0.0412821517118993	0.221422450091096
LPS	(1.00838e+08,1.0084e+08]	0.22	0.00462359830717229	1.85523961054247e-05	0.00115481283695307	1.14233442622737	245.923770874344	0.191694061407634	0.471247900960434
LPS	(1.0084e+08,1.00842e+08]	0.46	0.00405599568132764	1.27843700072612e-05	0.00242205395178187	1.27753827632172	313.697717294843	0.408772838240374	0.674679472138047
LPS	(1.00842e+08,1.00844e+08]	0.99	0.00355647922377816	7.72612370679474e-06	0.0137217918649253	1.62773505348439	456.053851444073	0.992919584879141	0.992919584879141
LPS	(1.00844e+08,1.00846e+08]	0.49	0.00403527676844559	1.11957546022674e-05	0.00309339774063084	1.44452722856566	356.530231742453	0.491084596912166	0.724349780445445
LPS	(1.00846e+08,1.00848e+08]	0.1	0.00368892492291431	1.25681336855552e-05	0.000420516505424351	1.07506850393534	290.356317713059	0.0947401970332206	0.372644774997334
LPS	(1.00848e+08,1.0085e+08]	0	0.00392024778841268	9.51443272464655e-06	1.2893456226605e-08	1.60501382679179	407.811409169691	2.3469960122701e-09	6.92363823619681e-08
LPS	(1.0085e+08,1.00852e+08]	0.06	0.00420334743115279	1.54534957041427e-05	0.000372024597122476	1.13430050157056	268.722169882909	0.0654249716403552	0.28104225799011
LPS	(1.00852e+08,1.00854e+08]	0	0.00288335623854965	6.60546700224384e-06	5.25612989499901e-11	1.25210311364321	432.999862322658	2.37559367878219e-10	1.40160027048149e-08
LPS	(1.00854e+08,1.00856e+08]	0	0.00271471490896217	8.34843186327416e-06	4.26127464868802e-09	0.877650674086694	322.416213882106	7.50608998826648e-06	0.000110714827326931
LPS	(1.00856e+08,1.00858e+08]	0.06	0.00489168109300142	1.49093229789151e-05	0.000274856350346381	1.59219580191658	323.898319962603	0.0141842459349862	0.104608813770523
LPS	(1.00858e+08,1.0086e+08]	0.63	0.00310167995090917	7.15907808895037e-06	0.00356381596934697	1.33653715894347	429.570964613347	0.674284627301072	0.885470987365994
LPS	(1.0086e+08,1.00862e+08]	0.18	0.00367890209100568	1.23163790682427e-05	0.000952625360613656	1.09116635073474	295.50991835942	0.208584531737416	0.492259494900302
LPS	(1.00862e+08,1.00864e+08]	0.78	0.00358986880237719	7.86833880369656e-06	0.00552628188185747	1.62838037702985	451.976045487097	0.801602006806985	0.945890368032242
LPS	(1.00864e+08,1.00866e+08]	0.01	0.00385214733296596	1.35623100897719e-05	5.02624073681553e-05	1.08607108936021	280.853064536584	0.00934413662252116	0.0787577229612498
LPS	(1.00866e+08,1.00868e+08]	0.79	0.00365823324048156	8.55808596515169e-06	0.00461561382971455	1.55436695676138	423.341164460139	0.714227347506869	0.905337942926262
LPS	(1.00868e+08,1.0087e+08]	0.75	0.00412767309466881	1.25459654658041e-05	0.00556351321298919	1.34828790847229	325.297712767721	0.741247285732219	0.911116455379186
LPS	(1.0087e+08,1.00872e+08]	0.2	0.0041888847688071	1.47464336323361e-05	0.000805438172338338	1.18072502083663	280.690246849529	0.140606776884848	0.447908785326753
LPS	(1.00872e+08,1.00874e+08]	0.07	0.00411010837255735	1.70494411606534e-05	0.000154420207647246	0.982641225737224	238.096511114427	0.0385151651410623	0.221422450091096
LPS	(1.00874e+08,1.00876e+08]	0.25	0.00373182025654763	1.29327292259883e-05	0.00127274437291998	1.06908978263252	285.410351652618	0.27390167019158	0.570427915449342
LPS	(1.00876e+08,1.00878e+08]	0.91	0.00362087459958595	1.41065466838223e-05	0.0079198457823637	0.922421539543613	253.828610061798	0.88351293298284	0.989846465161108
LPS	(1.00878e+08,1.0088e+08]	0.19	0.00419343391706162	1.33224475000905e-05	0.00106552541363955	1.31021572031729	311.134369369359	0.167016835206586	0.447908785326753
LPS	(1.0088e+08,1.00882e+08]	0.2	0.00254717908653683	5.3039102627636e-06	0.000522683885945508	1.2176082480219	476.804629943865	0.144813997279163	0.447908785326753
